Anio_Periodo;Anio;Periodo;Fecha;Mes;ID_Trimestre;Trimestre;Mes_ES;Trimestre_ES;Mes_Anio
200801;2008;1;2008-01-01;Jan;20081;Q1;enero;T1;ene. 2008
200802;2008;2;2008-01-02;Feb;20081;Q1;febrero;T1;feb. 2008
200803;2008;3;2008-01-03;Mar;20081;Q1;marzo;T1;mar. 2008
200804;2008;4;2008-01-04;Apr;20082;Q2;abril;T2;abr. 2008
200805;2008;5;2008-01-05;May;20082;Q2;mayo;T2;may. 2008
200806;2008;6;2008-01-06;Jun;20082;Q2;junio;T2;jun. 2008
200807;2008;7;2008-01-07;Jul;20083;Q3;julio;T3;jul. 2008
200808;2008;8;2008-01-08;Aug;20083;Q3;agosto;T3;ago. 2008
200809;2008;9;2008-01-09;Sep;20083;Q3;septiembre;T3;sep. 2008
200810;2008;10;2008-01-10;Oct;20084;Q4;octubre;T4;oct. 2008
200811;2008;11;2008-01-11;Nov;20084;Q4;noviembre;T4;nov. 2008
200812;2008;12;2008-01-12;Dec;20084;Q4;diciembre;T4;dic. 2008
200901;2009;1;2008-01-13;Jan;20091;Q1;enero;T1;ene. 2009
200902;2009;2;2008-01-14;Feb;20091;Q1;febrero;T1;feb. 2009
200903;2009;3;2008-01-15;Mar;20091;Q1;marzo;T1;mar. 2009
200904;2009;4;2008-01-16;Apr;20092;Q2;abril;T2;abr. 2009
200905;2009;5;2008-01-17;May;20092;Q2;mayo;T2;may. 2009
200906;2009;6;2008-01-18;Jun;20092;Q2;junio;T2;jun. 2009
200907;2009;7;2008-01-19;Jul;20093;Q3;julio;T3;jul. 2009
200908;2009;8;2008-01-20;Aug;20093;Q3;agosto;T3;ago. 2009
200909;2009;9;2008-01-21;Sep;20093;Q3;septiembre;T3;sep. 2009
200910;2009;10;2008-01-22;Oct;20094;Q4;octubre;T4;oct. 2009
200911;2009;11;2008-01-23;Nov;20094;Q4;noviembre;T4;nov. 2009
200912;2009;12;2008-01-24;Dec;20094;Q4;diciembre;T4;dic. 2009
201001;2010;1;2008-01-25;Jan;20101;Q1;enero;T1;ene. 2010
201002;2010;2;2008-01-26;Feb;20101;Q1;febrero;T1;feb. 2010
201003;2010;3;2008-01-27;Mar;20101;Q1;marzo;T1;mar. 2010
201004;2010;4;2008-01-28;Apr;20102;Q2;abril;T2;abr. 2010
201005;2010;5;2008-01-29;May;20102;Q2;mayo;T2;may. 2010
201006;2010;6;2008-01-30;Jun;20102;Q2;junio;T2;jun. 2010
201007;2010;7;2008-01-31;Jul;20103;Q3;julio;T3;jul. 2010
