ID_Cliente;Nombre_Cliente;Ciudad;Codigo_Postal;Estado_Provincia;ID_Sector;Pais_Codigo;Pais;Sector_ES;Estado_Sector;Sector_Analisis;Estado_Catalogo_Cliente
10000;Globo-Chem;Chicago;60601;IL;30;US;Estados Unidos;Servicios;Sector identificado;Servicios;Presente en catálogo
10001;SNC Directly to America;Westchester;60154;IL;30;US;Estados Unidos;Servicios;Sector identificado;Servicios;Presente en catálogo
10002;GHG;Plano;75024;TX;13;US;Estados Unidos;Alta tecnología;Sector identificado;Alta tecnología;Presente en catálogo
10003;ABC Helicopter;Fort Worth;76177;TX;34;US;Estados Unidos;Transporte;Sector identificado;Transporte;Presente en catálogo
10005;GAM Neuro;South Bend;46617;IN;34;US;Estados Unidos;Transporte;Sector identificado;Transporte;Presente en catálogo
10006;Sourced Out;Chestbrook;19087;PA;26;US;Estados Unidos;Industria farmacéutica;Sector identificado;Industria farmacéutica;Presente en catálogo
10007;Processes Inc;Foster City;94404;CA;30;US;Estados Unidos;Servicios;Sector identificado;Servicios;Presente en catálogo
10008;Cadams USA;EI Paso;79998;TX;7;US;Estados Unidos;Bienes de consumo envasados;Sector identificado;Bienes de consumo envasados;Presente en catálogo
10009;Noca Gas;Irving;75063;TX;23;US;Estados Unidos;Petróleo y gas;Sector identificado;Petróleo y gas;Presente en catálogo
10010;PDP;Falls Church;22042;VA;30;US;Estados Unidos;Servicios;Sector identificado;Servicios;Presente en catálogo
10011;EBU Ideals;Battlecreek;49017;MI;11;US;Estados Unidos;Departamento de Defensa;Sector identificado;Departamento de Defensa;Presente en catálogo
10012;ONJI LTD;St Louis;63146;MO;15;US;Estados Unidos;Industria;Sector identificado;Industria;Presente en catálogo
10013;Keedsler Motors;Ellicott City;;MD;10;US;Estados Unidos;Gobierno federal civil;Sector identificado;Gobierno federal civil;Presente en catálogo
10015;Axis Chemical Co.;San Jose;95138;CA;32;US;Estados Unidos;Telecomunicaciones;Sector identificado;Telecomunicaciones;Presente en catálogo
10016;Rouster and Sideways;Mason;45040;OH;7;US;Estados Unidos;Bienes de consumo envasados;Sector identificado;Bienes de consumo envasados;Presente en catálogo
10017;Initrode;Melville;11747;NY;7;US;Estados Unidos;Bienes de consumo envasados;Sector identificado;Bienes de consumo envasados;Presente en catálogo
10018;ONESYNE Labs LP;Alexandria;22314;VA;11;US;Estados Unidos;Departamento de Defensa;Sector identificado;Departamento de Defensa;Presente en catálogo
10019;ProStaffing;Plano;75024;TX;30;US;Estados Unidos;Servicios;Sector identificado;Servicios;Presente en catálogo
10020;Creek and Company;Waupaca;54981;WI;20;US;Estados Unidos;Metales;Sector identificado;Metales;Presente en catálogo
10021;CAKS;Anchorage;99503;AK;32;US;Estados Unidos;Telecomunicaciones;Sector identificado;Telecomunicaciones;Presente en catálogo
10022;DND;Irving;75038;TX;20;US;Estados Unidos;Metales;Sector identificado;Metales;Presente en catálogo
10023;Corrigan and Partners;DALLAS;75247;TX;7;US;Estados Unidos;Bienes de consumo envasados;Sector identificado;Bienes de consumo envasados;Presente en catálogo
10024;NYT Troupe;New York;10018;NY;25;US;Estados Unidos;Industria papelera;Sector identificado;Industria papelera;Presente en catálogo
10026;Smith and Co.;Juno Beach;33408;FL;9;US;Estados Unidos;Energía;Sector identificado;Energía;Presente en catálogo
10027;QWERTY Logistics;AAAAAAA;11111;TX;29;US;Estados Unidos;Semiconductores;Sector identificado;Semiconductores;Presente en catálogo
10028;Nevali Group;DALLAS;75254;TX;17;US;Estados Unidos;Materiales;Sector identificado;Materiales;Presente en catálogo
10029;Bueno Gallo Inc;Wheaton;60187;IL;7;US;Estados Unidos;Bienes de consumo envasados;Sector identificado;Bienes de consumo envasados;Presente en catálogo
